Gene,GeneID,Count,PMID
Slug,20583,1,[26992741]
HER2,2064,3,"[25442282, 21918170, 25442282]"
AKT,207,26,"[30934922, 31163640, 22464013, 25442282, 36976205, 23468988, 33846818, 31280524, 30837881, 32295926, 38067576, 17516868, 25360754, 27939989, 28359246, 21468561, 32096436, 23747344, 17666799, 28359723, 30987066, 25806467, 31893233, 30355923, 31109134, 31109134]"
hERG,2078,2,"[26024438, 22694270]"
SREBP-1c,20787,2,"[31936890, 31936890]"
AKT2,208,1,[30837881]
IRE1alpha,2081,1,[34070303]
STAT3,20848,3,"[30618745, 29609012, 29609012]"
signal transducer and activator of transcription 6,20852,1,[23848565]
ER,2099,12,"[17438068, 37683805, 37662726, 37683805, 36165278, 17438068, 8031711, 31596610, 16751557, 26056942, 36575224, 26056942]"
Alb,213,5,"[35566312, 34308039, 2200593, 29100800, 34308039]"
Y (2 and 3,21354,1,[32330576]
cGAS,214763,1,[38067514]
TR,2149,1,[30844108]
ALDH1,216,5,"[31795147, 36797277, 30441806, 31795147, 30441806]"
NLRP3,216799,1,[36755021]
FA1,2175,2,"[33806727, 9251171]"
TGF-beta1,21803,1,[25799023]
TH,21823,1,[33719004]
mL,21832,7,"[26906638, 31936472, 22039419, 35255883, 1640360, 16989537, 23805902]"
FA2,2187,2,"[9251171, 33806727]"
TLR4,21898,4,"[34352712, 26559695, 24532584, 26559695]"
TNF-a,21926,35,"[16020192, 29566694, 12808294, 30073232, 19651243, 14519947, 33705950, 20107539, 22840014, 31892211, 21277968, 18642845, 25457483, 31398401, 21704694, 33807544, 26559695, 16899239, 25982420, 24049493, 35408555, 28360029, 20136448, 20224909, 38067514, 16899239, 16020192, 14519947, 33705950, 23510283, 19651243, 20136448, 28630461, 23796217, 29566694]"
FASN,2194,3,"[25442282, 16256699, 25442282]"
RANKL,21943,1,[25789604]
TPI,21991,1,[29549725]
FcepsilonRI,2205,1,[16213796]
tyrosinase,22173,1,[27801787]
TRP-1,22178,2,"[27801787, 27801787]"
FDFT1,2222,4,"[33890134, 33890134, 26643964, 1429235]"
FPS,2224,2,"[26803304, 26803304]"
VEGF,22339,9,"[29655782, 25799023, 19754167, 32171839, 29609012, 29609012, 19754167, 32171839, 23796217]"
HST,2249,2,"[29288760, 22931103]"
TRIF,225471,1,[17947673]
TGR5,227289,1,[36755021]
RRAS-2,22800,1,[31673827]
PAO1,228608,1,[19054330]
SPS-2,22928,1,[36144391]
SPS,22929,1,[36144391]
Lip,23049,1,[19797788]
Phr,23077,1,[25559405]
FOXO1,2308,1,[30934922]
Foxo3,2309,1,[26098777]
aldose reductase,231,2,"[26473887, 20603199]"
ICOSL,23308,1,[36160406]
syn,23336,1,[18319144]
FN1,2335,2,"[24718855, 36768574]"
SIRT1,23411,4,"[31018574, 31346342, 32825344, 31018574]"
S-adenosylmethionine (SAM) synthetase,23467989,3,"[21989639, 21989639, 21989639]"
laccase,23504612,1,[35906994]
G6PDH,23504891,2,"[22112266, 22112266]"
AP-1,2353,3,"[29234409, 29234409, 28811522]"
AP-1,2354,1,[15781230]
AST,235504,7,"[36991200, 18406549, 24559087, 30704622, 23796220, 30704622, 23796220]"
FMLP,2357,2,"[23822585, 23647825]"
apoptosis-related protein,23591,1,[26349514]
asp2,23621,1,[36166052]
MD-2,23643,2,"[24532584, 38045060]"
mL(-1),23961,1,[25288148]
cob,24161221,1,[33166617]
Akt,24185,4,"[25128810, 25159861, 26221612, 25288148]"
aldose reductase,24192,2,"[23458199, 16833015]"
Bcl-2,24224,1,[25128810]
CAT,24248,8,"[32257880, 30473664, 28752930, 32160646, 25128810, 26221612, 28752930, 32257880]"
cytochrome P4501A1,24296,1,[9296363]
ERK,24338,3,"[25128810, 25288148, 25525886]"
glucose-6-phosphate-dehydrogenase,24377,1,[29356583]
heme oxygenase-1,24451,1,[25128810]
interleukin-1beta,24494,1,[22327557]
IL-6,24498,3,"[32179464, 27402683, 27402683]"
KRAS,24525,1,[30577618]
iNOS,24599,1,[35094261]
AFG1,246269,1,[30468840]
DARK,246855,1,[31673827]
PTP1B,24697,2,"[17279797, 17279797]"
FRAP,2475,11,"[24206732, 27272544, 33218179, 28245124, 38067576, 30123617, 28359246, 23468988, 23468988, 30123617, 28245124]"
CXCL12,24772,1,[26221612]
TNF-alpha,24835,6,"[32179464, 31926986, 25525886, 27402683, 26300947, 22327557]"
B1- B2- G1,24861,1,[19399242]
Bax,24887,1,[25128810]
estrogen receptor,24890,1,[23772114]
AlP,250,2,"[27401186, 27401186]"
NK2 receptor,25007,1,[7515038]
cytochrome P450- cytochrome b5,25251,1,[11727790]
IL-10,25325,2,"[18279796, 11777845]"
Fyn,2534,1,[32825344]
GSD-1,2538,1,[30993742]
caspase 3,25402,3,"[15757498, 25128810, 25692332]"
ku70,2547,1,[29557773]
Gab1,2549,1,[27939989]
beta-amyrin synthase,25491157,1,[22039103]
PC9,255738,1,[30037018]
leptin,25608,1,[29356583]
Smad3,25631,1,[24128039]
PPARgamma,25664,2,"[24752777, 24752777]"
Annexin V,25673,1,[25692332]
MAK,25677,1,[24369991]
AhR,25690,2,"[10721082, 9296363]"
AST,25721,2,"[27402683, 27402683]"
TRAP,25732,2,"[24174985, 24174985]"
proliferating cell nuclear antigen,25737,1,[26221612]
Fbx,25793,1,[31216760]
TRIVIDRAFT_90152,25798917,1,[34168625]
D1- p-Rb,25802,1,[22178684]
omp85,25813,2,"[25939848, 25939848]"
UDP-galactose 4-epimerase,2582,1,[11726498]
TrxR,25824,2,"[19941471, 19941471]"
asp1,25825,1,[36166052]
SSP1,26054,1,[36836253]
Tip,261726,1,[30103481]
Lyp,26191,2,"[27939989, 30205507]"
