Chemicals,ChemicalsID,Length,PMID
beta-bisabolene,C531191,1,[31311515]
cyclo-(3-hydroxy-4-methyldecanoyl-Gly-L-Val-D-Leu-L-Ala-L-Phe,C531265,4,"[22500421, 27209381, 26184239, 26184239]"
scopularide B,C531266,1,[27209381]
cytosporones B,C531461,2,"[22690142, 25070068]"
7-galloylcatechin,C531896,1,[36517140]
hericenones C,C532216,1,[31569709]
hericenones,C532217,2,"[37958943, 25676326]"
Hericenone E,C532218,3,"[25288148, 25288148, 25676326]"
daldinin A,C532317,1,[18503188]
daldinin C,C532318,1,[36652091]
Sterenin D,C532323,1,[28528973]
3-OH,C532468,1,[37000636]
GA4,C532593,3,"[20134253, 21883250, 23636694]"
pestalachlorides B,C532659,1,[37302827]
macrolactin,C532687,4,"[30884857, 35056513, 29430375, 25860123]"
23S-hydroxy-3-7-11-15-tetraoxo-lanost-8-24E-diene-26-oic acid,C532703,1,[18696320]
jasmonoyl isoleucine,C532883,4,"[32006004, 32006004, 31493717, 38105548]"
29-hydroxypolyporenic acid C,C532901,1,[22083926]
Spiroleptosphols,C532933,2,"[31561557, 31561557]"
aureonitol,C533114,1,[23941144]
banyaside,C533517,1,[27847500]
Cephalosol,C533910,1,[18850610]
Ganoderic acid Me,C534033,6,"[20719456, 20719456, 20706913, 18946196, 18946196, 18946196]"
gamma-pyridone,C534143,1,[32236853]
Caryolan-1-ol,C534302,2,"[28724695, 28724695]"
(E-E)-geranyllinalool,C534312,1,[18398052]
myrtenol,C534317,1,[31974639]
16-O-alpha-D-tetraacetylglucopyranosyl hymatoxin C,C534668,1,[19140072]
alkaloid (Z)-4-(5-acetoxy-N-hydroxy-3-methylpent-2-enamido) butanoate,C534856,1,[36662195]
ardeemins,C534892,2,"[8478255, 25379339]"
pannomycin,C534923,1,[19102658]
pallidol,C535072,1,[33907682]
flavasperone,C535085,3,"[21652743, 25809933, 33301916]"
virgineone,C535097,1,[23806109]
3-hydroxyhericenone F,C535183,1,[18835171]
hericenone I,C535185,1,[18835171]
hericenone J,C535186,1,[18835171]
phloroglucinol aldehyde,C535196,1,[29217480]
asperpentyn,C538695,3,"[32174195, 32174195, 35628710]"
tricholomenyn C,C538697,1,[37175274]
sclerotigenin,C539066,2,"[11472940, 12358494]"
Azlactone,C539182,2,"[36706030, 36706030]"
rutinose,C539209,1,[33218993]
p-hydroxyphenylacetamide,C539327,1,[35997245]
enokipodins B,C539534,1,[29243621]
flindersine,C539535,1,[27557347]
N-benzoyl-L-tyrosinyl-L-phenylalaninol acetate,C539587,1,[19122327]
N-benzoyl-L-tyrosinyl-L-p-hydroxyphenylalaninol acetate,C539588,1,[19122327]
notoamide L,C539659,1,[26061478]
notoamides,C539661,1,[37110751]
methyl phomopsenonate,C539730,1,[19161275]
Enzalutamide,C540278,2,"[36662227, 36662227]"
cottoquinazoline A,C540535,2,"[35987279, 19245260]"
citreorosein,C540595,4,"[31164126, 21031261, 37849927, 35205947]"
2-(2-hydroxyethylthio),C541394,1,[37490243]
epi-isozizaene,C541862,1,[37755004]
deoxynivalenol-3-glucoside,C542050,12,"[29574332, 35362967, 29382163, 25609182, 25609182, 25609182, 29677133, 36828399, 20681008, 35324714, 17761332, 23529186]"
Na1s,C542597,1,[30508758]
kenusanone H,C542604,1,[37367838]
leoligin,C542788,1,[24932777]
aspergiolide A,C542894,2,"[19386490, 19386490]"
tetrahydroquinoline,C542964,1,[15032481]
benzenoids,C543097,1,[37974074]
chloratranorin,C543235,4,"[31243559, 17619930, 26342621, 25220142]"
naseseazine B,C543448,1,[25416124]
9-11-dehydroergosterol peroxide,C543735,4,"[36859622, 29845223, 29845223, 29845223]"
mycosporine serinol,C544070,2,"[21550091, 37367682]"
chaetomugilin,C544342,1,[36626751]
Albidopyrone,C544382,1,[19132055]
PtCHS,C544694,1,[36605949]
dihydroresveratrol,C544754,1,[28875843]
bingchamide B,C544880,1,[30549849]
1-3-6-8-tetrahydroxyanthraquinone,C544948,1,[19649732]
rhodolamprometrin,C544949,2,"[19649732, 19649732]"
1-acetyl-2-4-5-7-8-pentahydroxyanthraquinone,C544950,1,[19649732]
dihydroisocoumarine,C544994,1,[36364472]
25-methoxyporicoic acid A,C545041,1,[19746919]
ARG2,C545206,1,[36441009]
antroquinonol,C545357,8,"[25336756, 33320161, 28898082, 28898082, 28255687, 17932820, 21540101, 21540101]"
ganomycin I,C545411,2,"[33386071, 19813754]"
xanalteric acids I (,C545428,1,[19835393]
3-4-dihydroxybenzalacetone,C546059,4,"[34576923, 17387019, 23799608, 23799608]"
fumigaclavines,C546092,2,"[37478074, 18486645]"
dilactones,C546107,1,[37049883]
sclerotides A,C546296,1,[35736200]
buellin,C546368,1,[24170172]
neohesperidin,C546526,1,[37566738]
7-hydroxyjanthinone,C546646,1,[19967978]
dehydroeburicoic acid,C547186,3,"[26125648, 26125648, 28081627]"
zeamine,C547236,1,[37104544]
calpinactam,C547263,1,[36726159]
1-7-dihydroxy-2-methoxy-3-(3-methylbut-2-enyl)-9H-xanthen-9-one,C547454,1,[19908227]
1-hydroxy-4-7-dimethoxy-6-(3-oxobutyl)-9H-xanthen-9-one,C547456,1,[19908227]
3-7-11-trimethyl-14-(1-methylethyl)-1-3-6-10-cyclotetradecatetraene,C547690,1,[19621576]
perylenequinones,C547701,30,"[28300771, 35475649, 35475649, 35475649, 35475649, 31817301, 31802615, 30110969, 27682608, 35007177, 35007177, 35878437, 33910564, 33910564, 37985049, 34323368, 30868712, 32794137, 31641809, 37764307, 37764307, 37351768, 30018598, 35520149, 34356942, 34356942, 37409170, 37409170, 16915819, 1775581]"
Euglenophycin,C547753,1,[25548974]
Chloropupukeanolides,C548026,2,"[21305627, 21305627]"
mephedrone,C548233,1,[29306167]
spinetoram,C548262,1,[37184816]
4-chloro-flavanone,C548298,1,[22039419]
Cladosporols,C548360,2,"[15279980, 36575224]"
4-5-dimethoxycanthin-6-one,C548384,1,[36464333]
monocillin III,C548476,1,[18052326]
meridamycin,C548746,1,[36009926]
alpha-lipomycin,C548829,1,[37209150]
4R*-hydroxy-3-5R*-dimethoxycyclohex-2-enone,C548854,1,[20334136]
2-hydroxy-N-(2-hydroxyphenyl)propionamide,C548855,1,[20334136]
methyl D-indole-3-lactate,C548856,1,[20334136]
carbonyl,C548957,2,"[37423890, 36631103]"
fructigenine A,C549274,2,"[22611354, 23770564]"
ethyl octanoate,C549324,2,"[29490607, 19441818]"
himanimides,C549513,1,[37661754]
N5-Acetyl-N5-Hydroxyornithine,C549789,2,"[36671360, 36671360]"
Dihydrochalcomycin,C549885,1,[28555051]
Sodorifen,C549933,1,[28408760]
prothioconazole,C550005,3,"[35640724, 35640724, 35640724]"
Boscalid,C550088,2,"[25575496, 33664789]"
tricindiol,C550126,1,[31344458]
tricinonoic acid,C550127,2,"[31441663, 31441663]"
rugulosin A,C550228,1,[35203824]
GA-T,C550530,6,"[26508324, 20719456, 20719456, 20706913, 30317980, 28845771]"
Caripyrin,C550681,2,"[20379215, 20379215]"
aqabamycin A,C550684,1,[20431617]
Penilumamides A,C550764,1,[36674548]
Brartemicin,C550819,2,"[31699765, 31699765]"
antrocamphin A,C550852,1,[17559265]
4-(hydroxymethyl)-quinoline,C550905,1,[20156309]
anominine,C550942,1,[32702474]
autolytimycin,C551125,1,[28472671]
aurantioclavine,C551152,2,"[10920814, 36008047]"
nostotrebin 6,C551503,1,[24605879]
mayamycin,C551609,2,"[35572650, 34662717]"
1-1'-bis-valienamine,C551747,2,"[18820907, 18820907]"
7-O-ethyl ganoderic acid O,C552013,1,[20706913]
viridiflorol,C552080,3,"[27450433, 37283700, 29671794]"
Antrodin C,C552101,3,"[32133853, 32133853, 24871446]"
dimerumic acid,C552122,3,"[24728716, 22526810, 16939348]"
fonsecin B,C552278,1,[32880738]
asperfuranone,C552682,6,"[23621425, 20952652, 27455860, 19199437, 37755004, 24957370]"
3-methylundecane,C552995,1,[37168123]
norstictic acid,C553078,8,"[19796768, 34225637, 34034351, 26744260, 26744260, 26744260, 30271262, 30271262]"
carolacton,C553423,4,"[20659313, 20659313, 25902328, 25902328]"
2-3-dihydroxy-5-(hydroxymethyl) benzaldehyde,C553444,1,[20403429]
8-methyl decanoic acid,C553445,1,[20403429]
acetic acid-2-hydroxy-6-(3-oxo-butyl)-phenyl ester,C553446,1,[20403429]
neoeriocitrin,C553460,1,[37566738]
methyl antcinate A,C553655,1,[31883608]
Tyrian Purple,C553805,2,"[31058830, 31058830]"
2-methyl butanol,C553994,1,[33675374]
heneicosane,C554094,3,"[37836769, 36175855, 33968568]"
1-isomangostin,C554678,1,[36144309]
1H-pyrrole-2-carboxylic acid,C554881,1,[37375314]
aspernolide D,C554908,1,[24955555]
4-acetyl antroquinonol B,C555021,5,"[33320161, 28898082, 29566694, 29566694, 29566694]"
5-(1-hydroxybutyl)-4-methoxy-3- methyl-2H-pyran-2-one,C555041,1,[36908276]
izumiphenazine A,C555181,1,[36640042]
izumiphenazine B,C555182,1,[36640042]
altechromone A,C555186,1,[35878437]
neoglucobrassicin,C555404,1,[22978675]
epipolythiodiketopiperazine,C555444,7,"[27390873, 27390873, 27869187, 30075079, 30075079, 30096370, 30096370]"
pestalazine B,C555617,1,[37874626]
rubropunctatin,C556146,2,"[23179468, 29730002]"
Heptemerone G,C556251,1,[16156515]
FB2,C556348,5,"[37665547, 37665547, 36769333, 37198338, 36991200]"
EGM-556,C556383,1,[21174394]
verrucosidinol,C556618,2,"[21139842, 21139842]"
verrucosidinol acetate,C556619,1,[21139842]
sceliphrolactam,C556704,1,[21364940]
xiamycin,C556785,1,[24617253]
ganoderic acid,C556862,62,"[32432828, 32432828, 30951869, 30951869, 29476632, 29476632, 29476632, 27129961, 27129961, 27129961, 33962980, 33962980, 35196640, 35196640, 28336949, 33085941, 33085941, 31883976, 29305696, 29305696, 32975886, 32975886, 32975886, 33064185, 33064185, 22577974, 23359455, 23359455, 35017648, 35017648, 35992655, 35992655, 35992655, 23326470, 23326470, 28901910, 28901910, 22014750, 22036615, 29580621, 33385937, 20077112, 31817230, 31817230, 26508324, 26508324, 35628712, 35628712, 35628712, 29631100, 20706913, 20706913, 20603199, 10923835, 12045343, 29490285, 19801861, 22161763, 31681225, 31681225, 22178684, 25111010]"
ganoderic acid C2,C557338,1,[27910775]
salinosporamide K,C557509,1,[21873479]
acetylapoaranotin,C558010,1,[21122037]
deoxyapoaranotin,C558011,1,[21122037]
2-8-dihydroxy-3-4-dihydronaphthalen-1(2H)-one,C558149,1,[20432899]
3-4a-dimethyl-2-oxo-2-4-4a-5-6-7-hexahydronaphtho[2-3-b]furan-5-carboxylic acid,C558178,1,[21049610]
antrocin,C558369,2,"[23880305, 23880305]"
ganodermanontriol,C558586,10,"[22014750, 9810695, 12045343, 19331378, 22033405, 22033405, 22033405, 21225227, 21225227, 21225227]"
chiricanine A,C559008,1,[38023855]
Phellinstatin,C559136,2,"[21316961, 21316961]"
gregatin B,C559559,2,"[28958507, 28991218]"
(4S- 5R)-4-5-6-trihydroxy-2-iminohexanoate,C559720,1,[37662599]
cyclo(L-Leu-L-Propyl),C560129,1,[36287980]
asperlin,C560220,1,[30339758]
2-3-4-5-tetramethoxybenzoyl chloride,C560290,1,[17559265]
Dox,C561093,2,"[38133197, 37367918]"
oct-1-en-3-yl,C561514,1,[37261606]
aspergillusone A,C561564,1,[38171409]
desferrioxamine E,C561576,8,"[34371303, 38136619, 33666690, 31608025, 16151202, 16151202, 37828121, 34662717]"
4-methylene-2-(3-methylbut-2-en-1-yl)-phenol,C561822,1,[37261606]
1-1-3-3-tetrabromo-2-heptanone,C561883,1,[21660776]
antcin A,C561899,3,"[31883608, 17559265, 28081627]"
inflatins A (,C561982,1,[21812410]
mycosporine hydroxyglutamicol,C561985,1,[21550091]
3-hydroxy-5-methyl-5-6-dihydro-7H-cyclopenta[b]pyridin-7-one,C562036,1,[21725811]
chloroisosulochrin,C562278,1,[28550524]
(+)-iso-pestalazine A,C567994,2,"[37874626, 37874626]"
ascomycone A,C568011,1,[25416512]
ascomycone B,C568012,2,"[25416512, 25416512]"
3-4-dihydronaphthalen-1(2H)-ones,C568112,5,"[32207881, 36364185, 36364185, 36855227, 36855227]"
stylosin,C568428,1,[33489030]
botcinic acid,C568536,4,"[33283866, 31898475, 21722295, 23118899]"
norlichexanthone,C568539,3,"[31874327, 16738124, 38141073]"
Ganodone,C568647,2,"[21939217, 21939217]"
salvianolic acids,C568740,1,[27372730]
flavuside B,C568981,2,"[34677452, 34199157]"
alphitonin,C569082,1,[12747214]
Farinamycin,C569083,2,"[21939253, 21939253]"
cyclopiane diterpenes conidiogenones,C569161,1,[36662195]
streptobactin,C569545,1,[33932153]
Colibactin,C569566,8,"[27412582, 27412582, 37057993, 25527542, 27419387, 27419387, 35900973, 35900973]"
terreusinone A,C569912,1,[38067576]
SZ-685C,C569938,1,[25806467]
vicanicin,C570018,1,[33177283]
ramalin,C570208,4,"[34864007, 34225637, 28817102, 28817102]"
5-(methoxycarbonyl)-2-methylbenzo[d][1-3]dioxole-2-carboxylic acid,C570258,1,[37162357]
2-methoxy-6-methyl-1-4-benzoquinone,C570259,1,[36781157]
antcins B,C570347,6,"[25912848, 17559265, 28081627, 21916504, 21916504, 21916504]"
Sphaeropsidin A,C570422,7,"[35408726, 35408726, 22326509, 31557023, 25365236, 32650496, 32650496]"
asterina-330,C570559,1,[37367682]
3beta-5alpha-9alpha-trihydroxyergosta-7-22-dien-6-one,C570610,1,[36859622]
spirotetramat,C570705,1,[33452378]
verbascose,C570815,1,[37689887]
xylooligosaccharide,C570991,1,[35914151]
promysalin,C571083,1,[32347922]
isorhapontin,C571114,1,[28190131]
paraconic acids,C571316,3,"[36630529, 36630529, 28515022]"
Tenuipyrone,C571399,1,[22201477]
myxoprincomide,C571770,1,[37213496]
IPS,C571829,1,[30882293]
ganoderic acids,C572163,26,"[19475376, 28336949, 32575021, 30821564, 31883976, 29305696, 28422185, 28422185, 28892293, 28892293, 23359455, 23326470, 22036615, 35108082, 35108082, 20077112, 31817230, 34361637, 29631100, 20719456, 20719456, 20719456, 20719456, 17050181, 30317980, 26222905]"
Cordymin,C572165,2,"[22348255, 24174985]"
theissenolactone B,C572174,2,"[34185528, 34185528]"
3-epi-radicinin,C572285,1,[31370299]
eicosenoic acids,C572289,1,[26288080]
PHO,C572407,1,[37601111]
fusarisetin A,C572422,1,[25770422]
Myo-inositol,C572459,1,[37021806]
pycnidione,C572726,2,"[12451493, 12451493]"
fluopyram,C572868,1,[34314099]
austinol,C573071,13,"[33563821, 33563821, 28674377, 28674377, 37478074, 37478074, 17277172, 22904054, 18978088, 18978088, 22234162, 30044771, 30044771]"
pachybasin,C573277,3,"[22292460, 29111710, 29111710]"
(-)-epigallocatechin 3-O-(3-O-methyl) gallate,C573278,2,"[30884702, 30884702]"
4-Coumarate,C573280,2,"[38191099, 38191099]"
miltiradiene,C573600,2,"[36797237, 32551504]"
waikialoid A,C573602,1,[22400916]
aurantiamides,C574018,1,[19122327]
4-7-dimethoxy-5-methyl-1-3-benzodioxole,C574078,1,[22429157]
4-methoxy-1-naphthol,C574123,1,[22993990]
5-hydroxy-7-(2'-hydroxypropyl)-2-methyl-chromone,C574236,1,[35094261]
norendoxifen,C574385,1,[27812322]
psoromic acid,C574499,3,"[15757498, 26704132, 23806111]"
phomentrioloxin,C574853,1,[25700035]
oxysporum 170103,C575023,1,[36436828]
kiamycin,C575073,1,[22536997]
R-3-hydroxyundecanoic acid methylester-3-O-alpha-l-rhamnopyranoside,C575074,1,[22611356]
dec-2-en-4-olide,C575703,2,"[37894885, 37894885]"
guignardic acid,C575776,4,"[23406659, 35531732, 22779915, 22779915]"
Phenguignardic acid,C575777,4,"[23406659, 26851300, 22779915, 22779915]"
hericerins,C576033,3,"[26244378, 32269298, 32269298]"
isoochracinic acid,C576090,1,[37466533]
Jiangxienone,C576181,2,"[22782880, 22782880]"
harzianopyridone,C576302,1,[19413806]
2'-6'-dihydroxy-4'-geranyloxyacetophenone,C576420,1,[22698715]
2'-6'-dihydroxy-4'-farnesyloxy-acetophenone,C576421,1,[22698715]
ascosalipyrone,C576489,1,[38133197]
Occidiofungin,C576718,2,"[34433293, 34433293]"
8-amino-flaviolin,C576768,1,[28205416]
eliamid,C577029,2,"[22890974, 22890974]"
brevianamide,C577119,2,"[35102193, 28744271]"
malleilactone,C577165,1,[28320949]
9S-11R-(+)-ascosalitoxin,C577383,2,"[31354886, 38133197]"
luminmycin A,C577387,1,[23095088]
isorenieratene,C577433,1,[34662717]
harzianolide,C577797,4,"[19413806, 26637047, 24080397, 24080397]"
Cyclobotryoxide,C577815,3,"[23046443, 23046443, 23046443]"
ethylicin,C578025,1,[36640042]
5-methoxysterigmatocystin,C578082,3,"[10560628, 33314413, 18486645]"
6-epi-ophiobolin A,C578156,3,"[37090018, 37090018, 37090018]"
7-dehydroxyl-zinniol (,C578212,1,[23106531]
protocetraric acid,C578352,5,"[30676068, 37298969, 27645140, 23872116, 33013369]"
paecilospirone,C578404,1,[11045449]
dotriacontane,C578748,1,[35988726]
prasinic acid,C578922,1,[31406483]
pigmentosin A (,C579016,1,[31921369]
C47H59N3O3,C579131,1,[36548713]
Chaetoviridin A,C579267,3,"[30289449, 36626751, 37670992]"
spiculisporic acid,C579370,1,[37836769]
effusol,C579695,1,[28484977]
(R)-2-(2-(furan-2-yl)-oxoethyl)-octahydropyrrolo[1-2-a]pyrazine-1-4-dione,C579749,1,[23323802]
6-hydroxymetatacarboline D,C579784,2,"[23330951, 23330951]"
lahorenoic acid A,C580645,1,[27974729]
phenylurea,C580738,1,[21075624]
cannabidivarin,C580853,2,"[37719209, 37719209]"
chaxamycin D,C581435,1,[30451442]
furo[3-2-c]pyran-4-one,C581776,1,[15165144]
cytosporones,C581842,5,"[22690142, 22289771, 22876952, 37049883, 29186928]"
NOI,C582058,1,[37523903]
(2-(hydroxyimino)-3-phenylpropanoyl)-L-phenylalanine,C582257,1,[36448521]
pembrolizumab,C582435,1,[28923537]
cyclo-(l-Val-l-Leu),C582466,1,[23600807]
11-12-dihydroxy-15-drimeneoic acid,C582497,1,[23421620]
3alpha-11-15-trihydroxydrimene,C582498,1,[23421620]
scytolide,C582585,1,[19502726]
oxysporone,C582586,2,"[22326509, 22326509]"
2-[4-(hydroxymethyl)-4-5-dihydro-1-3-thiazol-2-yl]phenol,C582623,1,[37797477]
2-6-dichloro-1-4-benzoquinone,C582717,1,[9748450]
mevalocidin,C583007,2,"[27221133, 27221133]"
epidithiodioxopiperazines,C583099,4,"[32260204, 35862794, 35862794, 31551992]"
epidithiodiketopiperazines,C583251,2,"[27355960, 16550228]"
kocurin,C583478,1,[23538871]
CPZEN-45- spectinamide-1599,C583520,1,[37086027]
ipatasertib,C583616,1,[32096436]
tryptoquivalines,C583688,2,"[27739446, 31345413]"
fomitellanols A,C583762,1,[23571531]
anthracimycin,C583934,1,[30451442]
alpha-cyperone,C583938,1,[32269554]
desmethyl-lasiodiplodin,C584013,2,"[27760442, 24597618]"
2-pyrone,C584017,1,[12634789]
desmethylisaridin E,C584044,1,[23822585]
desmethylisaridin C2,C584045,1,[23822585]
isaridin F,C584046,2,"[23822585, 23822585]"
bis-N-norgliovictin,C584130,1,[28287456]
GADM,C584306,1,[22178684]
cyathin I (,C584386,1,[23500388]
acremine P,C584587,1,[23883432]
dehydropachymic acid,C585138,3,"[22083926, 23588713, 23588713]"
orfamide A,C585331,2,"[26655755, 35478286]"
U104,C585353,1,[31694427]
penstyrylpyrone,C585610,2,"[23612372, 23612372]"
p-cymen-7-ol,C585751,1,[31974639]
O-methylated Emodacidamides,C585829,2,"[36512748, 36512748]"
rhizathalene A,C586007,1,[23512856]
apicidin F,C586138,4,"[29073267, 25058475, 25058475, 25058475]"
16alpha-26-dihydroxylanosta-8-24-dien-3-one,C586930,1,[23909866]
inonotusic acid,C587333,1,[24359303]
phomazines,C587408,1,[37401998]
Lichexanthone,C587518,2,"[21031261, 31125207]"
luminmycin D,C587736,2,"[23095088, 23095088]"
Lingzhiols,C587942,3,"[24128039, 24128039, 24128039]"
libertellenone H,C587978,4,"[26638966, 26638966, 37888476, 37888476]"
pyranonigrin E,C587979,2,"[33356862, 34947073]"
ribisin C,C588103,1,[23215538]
HMC,C588383,1,[26291658]
A23187,D000001,2,"[32251647, 29463727]"
temephos,D000002,1,[29457957]
abscisic acid,D000040,77,"[35108092, 35108092, 31034868, 31034868, 35182869, 30966793, 30412012, 34258698, 35142138, 30609067, 17351116, 17351116, 30854549, 30854549, 29695775, 29695775, 21883250, 21883250, 27459344, 27459344, 34600600, 34600600, 26300892, 31187042, 31187042, 31652440, 31652440, 25955649, 25955649, 25955649, 32659716, 31950395, 22574939, 29455337, 29455337, 30200229, 30200229, 23302050, 28792629, 36578344, 24920452, 35563613, 35692040, 25628626, 21251001, 36891381, 31906847, 26323788, 26323788, 35939621, 29906774, 27458462, 26642184, 28159987, 28159987, 31493717, 16662775, 16662775, 16662775, 35432401, 32942781, 35992717, 35992717, 31023221, 31023221, 31129470, 31597352, 31597352, 27867390, 36493827, 24884360, 24884360, 35360328, 32376849, 29709641, 29709641, 29491836]"
salmeterol,D000068299,1,[29655683]
Rosuvastatin,D000068718,2,"[32214138, 32214138]"
FTY720,D000068876,6,"[15986440, 21456524, 21456524, 21456524, 21456524, 16473668]"
imatinib,D000068877,1,[30934922]
trastuzumab,D000068878,1,[21918170]
Atorvastatin,D000069059,3,"[11956737, 26287401, 22537890]"
Ca2+,D000069285,24,"[30951869, 27129961, 30742443, 10200037, 34781745, 35870147, 34069724, 32659716, 34001006, 22036615, 25272834, 24920452, 36135627, 14534326, 11676003, 16213796, 35898220, 30614377, 32597697, 20518352, 33013369, 30355923, 29867469, 27809277]"
Bortezomib,D000069286,2,"[24955237, 24955237]"
Capecitabine,D000069287,1,[35059528]
linezolid,D000069349,1,[34983506]
O-desmethylvenlafaxine,D000069468,2,"[32127240, 35059528]"
venlafaxine,D000069470,2,"[32127240, 35714148]"
TCDD,D000072317,5,"[26979434, 26979434, 9296363, 10721082, 10721082]"
dibenzofurans,D000072318,9,"[29280946, 22223171, 34323187, 34323187, 15620265, 26867808, 26867808, 26979434, 28515022]"
polychlorinated dibenzofurans,D000072338,1,[26867808]
strobilurins,D000073739,3,"[33756201, 34436218, 19362635]"
palm oil,D000073878,2,"[30658506, 34381084]"
sugars,D000073893,156,"[29749738, 32709946, 24636745, 27890093, 32244095, 27979131, 28036382, 29117646, 30504088, 17706732, 26276403, 7857517, 3772735, 31408740, 21339946, 27528575, 22417480, 26411891, 31034961, 34499202, 27459772, 34715339, 34279634, 34665514, 27984587, 24387860, 27150814, 24923325, 22802156, 32876531, 35906994, 35396966, 35396966, 28875843, 33026584, 19853265, 35409115, 18454138, 29611074, 33515286, 22289775, 29490607, 19838698, 32586416, 30802803, 32771899, 29162710, 29162710, 26270176, 30360288, 18816056, 34347199, 30304815, 31146329, 33640805, 28830094, 33019571, 33019571, 28409159, 28661367, 28661367, 16333345, 27041239, 31563093, 16870766, 16870766, 3086727, 1625576, 30658969, 29306327, 34739806, 36108886, 29101089, 11870853, 33557748, 32170889, 30381171, 28555051, 25797403, 29072738, 23734881, 23734881, 29427428, 27291673, 23719893, 29107234, 31487826, 7766082, 10919763, 33340944, 33340944, 20557124, 32708105, 35724740, 24742428, 28072559, 29580870, 31300723, 26157423, 27618884, 34068175, 34436465, 33531553, 33531553, 30298076, 35422824, 26828471, 24991113, 34134852, 34134852, 35898220, 32824704, 28159987, 28159987, 34168625, 34361136, 33659181, 31493717, 31892111, 35432401, 22795749, 31542655, 34315370, 34315370, 19118125, 28901274, 27338261, 27338261, 32928565, 35755649, 32471154, 25970559, 22424768, 29186612, 29186612, 24131360, 29906777, 30777812, 17466030, 31246411, 31246411, 32323057, 35020062, 32538737, 31252370, 28587097, 30463132, 36092146, 27393306, 28495892, 25546397, 24871446, 29199552, 23510175, 25954910, 30806267]"
neonicotinoids,D000073943,1,[32932866]
rapeseed oil,D000074262,3,"[32930255, 26603760, 31354643]"
ipilimumab,D000074324,1,[28923537]
irinotecan,D000077146,1,[22593939]
rosiglitazone,D000077154,2,"[23848565, 18667308]"
sorafenib,D000077157,1,[29069821]
Resveratrol,D000077185,49,"[15740035, 15740035, 29254631, 11929539, 11929539, 30678677, 35575690, 16988123, 16988123, 33636782, 31860394, 34533970, 19443619, 22137037, 28190131, 32818629, 32818629, 34199540, 34199540, 33550599, 33550599, 33550599, 34992245, 32664999, 32664999, 31311182, 31311182, 31311182, 31225657, 31225657, 19631278, 19631278, 19813054, 25675955, 22332977, 22332977, 35422824, 22038118, 33907682, 28570053, 34745078, 34745078, 27656886, 27656886, 28713417, 27826948, 34201750, 22981595, 20093034]"
wortmannin,D000077191,3,"[7566056, 2181929, 28359246]"
temozolomide,D000077204,3,"[32507600, 35406647, 35406647]"
5-aza-2-deoxycytidine,D000077209,1,[30600715]
ZOL,D000077211,1,[30005262]
1-methyl-4-(1-methylethenyl)-cyclohexene,D000077222,16,"[23208371, 35014870, 10340828, 10340828, 25342502, 30069568, 32506599, 21830789, 27064866, 23250224, 29671794, 32390984, 32390984, 26023857, 28285516, 33995321]"
donepezil,D000077265,1,[30450967]
lycopene,D000077276,4,"[27707428, 27179537, 29315481, 32849341]"
cetyl trimethyl ammonium bromide,D000077286,2,"[23121598, 30335843]"
terbinafine,D000077291,2,"[24708558, 24708558]"
caspofungin,D000077336,9,"[30413850, 23688303, 30342519, 30342519, 34476516, 32461274, 32461274, 34718550, 16964330]"
suberoylanilide hydroxamic acid,D000077337,21,"[30636097, 30636097, 29084681, 29084681, 34299537, 29683350, 29683350, 19521728, 27924400, 27393435, 27393435, 32060485, 21174394, 21174394, 31354886, 29851264, 29851264, 23822585, 23822585, 22700228, 35733953]"
fluvastatin,D000077340,1,[11956737]
lapatinib,D000077341,1,[25442282]
Silybin A,D000077385,9,"[24456525, 24456525, 33546424, 33546424, 27910775, 27910775, 23796220, 23796220, 31758991]"
Pantoprazole,D000077402,2,"[33330703, 33330703]"
AlCl3,D000077410,1,[27809277]
lipoglycopeptides,D000077427,1,[35793792]
tirofiban,D000077466,1,[33491454]
Glucantime,D000077485,1,[9080673]
piperazine,D000077489,1,[11375024]
micafungin,D000077551,3,"[16964330, 34489920, 34489920]"
sodium citrate,D000077559,1,[19680788]
1-8-cineole,D000077591,7,"[25648891, 15141066, 31980918, 31980918, 26385229, 26916832, 30154722]"
nivolumab,D000077594,1,[28923537]
ET-743,D000077606,3,"[33979675, 21875091, 35490806]"
ertapenem,D000077727,1,[33028279]
meropenem,D000077731,2,"[33028279, 25737024]"
homoharringtonine,D000077863,2,"[32023633, 33197848]"
eucalyptus oil,D000078122,1,[25648891]
Polyacetylenes,D000078789,6,"[31986045, 31986045, 34665514, 32733077, 28623383, 35056642]"
acetaldehyde,D000079,11,"[35864195, 32399987, 17103156, 15141066, 9246777, 21786136, 21081066, 15713011, 7766082, 7766082, 32523575]"
acetal,D000080,1,[27462726]
4-acetamidophenol,D000082,6,"[9237764, 9237764, 36985164, 34443414, 31758991, 31758991]"
acetate,D000085,50,"[11960184, 28762089, 34311583, 34311583, 21139842, 18280723, 35078584, 24556073, 25868803, 1429235, 11956737, 747811, 37522531, 7793957, 37272916, 36056870, 3882051, 38067659, 21720823, 23307850, 19386490, 24895122, 16944285, 30261908, 508294, 15713011, 3156854, 10919763, 9666174, 24151782, 16332809, 37168123, 30279427, 36840041, 32805028, 30812133, 19548685, 16428643, 35403275, 25198138, 12747214, 36294594, 28871284, 17177570, 36547610, 29889418, 30458225, 28432098, 20456526, 25250512]"
Acetyl methyl carbinol,D000093,7,"[32597067, 22924897, 21216911, 25725457, 26035127, 25119988, 36532498]"
