Chemicals,ChemicalsID,Length,PMID
N-acetylnorloline,C000611700,2,"[26550846, 26550846]"
grifolaone A,C000612020,1,[26374926]
2-5-dimethoxy-N-benzylphenethylamines,C000612304,1,[29971945]
hexahydro-3-(2-methylpropyl)pyrrole[1-2a]pyrazine-1-4-dione,C000612400,1,[28425950]
lyngbic acid,C000612874,2,"[26495995, 26495995]"
Pannorin B,C000613645,1,[26365944]
3-6-dihydroxy-2-propylbenzaldehyde,C000613693,1,[26894873]
2-hydroxymethyl-3-propylcyclohexa-2-5-diene-1-4-dione,C000613694,1,[26894873]
Epacadostat,C000613752,2,"[27457784, 27457784]"
aurasperone B,C000613907,3,"[21652743, 25809933, 20003296]"
(24E)-3-4-seco-cucurbita-4-24-diene-3-hydroxy-26-29-dioic acid,C000613935,1,[27066716]
glycerol 1-hydroxy-2-5-dimethyl benzoate,C000614445,1,[26975378]
chevalone C,C000614474,1,[25738405]
alphitolic acid,C000614552,2,"[30339834, 28407906]"
5-aminolevulinic acid,C000614854,4,"[26821380, 26821380, 29906777, 29906777]"
13C,C000615229,80,"[28351740, 20943158, 31053589, 36048769, 28593175, 28606042, 23192186, 8476299, 17125234, 35056708, 29248948, 28861398, 27825996, 18400237, 23620853, 22981000, 24273867, 34169338, 1429235, 33375847, 34852242, 30193143, 15279980, 31267010, 8704657, 34564154, 33212800, 21141475, 16826555, 16830891, 30230327, 27757508, 30296072, 30304815, 20336498, 35678834, 29956124, 11694092, 23077964, 31052538, 30807789, 31135955, 19918940, 25220142, 9917307, 33583797, 8698635, 35013035, 15625725, 35628749, 3156854, 30398284, 25361420, 31410414, 32329701, 28959613, 24025457, 30050508, 27515463, 30970506, 31353310, 31739552, 35087795, 28330133, 31249829, 30812133, 22032140, 27486824, 12747214, 25205608, 21913247, 14643798, 8594142, 27996259, 16854719, 4040510, 28768421, 22999074, 28606152, 25330371]"
14C,C000615234,9,"[7494141, 18280723, 6626168, 10200037, 3103529, 30812133, 7940579, 18444159, 23075884]"
32P,C000615311,1,[8394100]
22-hydroxycampesterol,C000615731,1,[33085451]
erinaceolactone E,C000615814,1,[27243466]
lachabnormic acid,C000616115,1,[27618025]
3-indolecarboxylic acid,C000616673,1,[30062925]
koninginins,C000616732,2,"[24891425, 28384416]"
orsellinylmontagnetol A,C000616897,1,[28222890]
Trichocitrin,C000617284,2,"[26728965, 26728965]"
3-7-dimethyl-9-(-2-2-5-5-tetramethyl-1-3-dioxolan-4-yl)nona-1-6-dien-3-ol,C000617459,1,[27357742]
